time,point
1577443993.5574996, [1404.58796039  -627.7016957        44.0587305  ] 
1577443994.0300689, [1389.72265912  -905.24300021    408.17725532] 
1577443994.3883083, [1392.35394828  -905.32732166    405.76721216] 
1577443994.76199, [1389.94851697  -930.94318618    400.26805051] 
1577443995.10256, [1381.1018552    -958.10812932    431.95191451] 
1577443995.4568937, [1390.60644224  -921.96108072    394.41204343] 
1577443995.839661, [1386.82411867  -942.38405999    401.87893738] 
1577443996.2070446, [1390.58988447  -838.17460336    349.74037275] 
1577443996.5523665, [1407.28510592  -943.91749231    398.78006173] 
1577443996.9087327, [1392.98020078  -875.1194206      332.08052639] 
